// 古く青い箱から得られるアイテムを設定。
// nameid, item_name(dummy), rate
// アイテムID、アイテムの名前(ダミー)、確率(*10000)をした物です。500000なら50%で1000000なら100%です。)
// アイテムIDが0の場合確率をアイテムの選択に失敗した時に得られるデフォルトアイテムのIDとして認識します。(複数である場合最後の物だけ有効です。) 
0,ガード,2102
2102,ガード,40000
2104,バックラー,20000
2106,シールド,10000
2108,ミラーシールド,10000
2205,ダイバーゴーグル,30000
2206,ヴェール,10000
2207,装飾用花,10000
2209,リボン,40000
2210,ヘアバンド,10000
2211,頭巾,10000
2212,眼帯,40000
2213,猫耳のヘアバンド,10000
2215,花のヘアバンド,10000
2217,ビレタ,10000
2218,マスク,40000
2221,ハット,30000
2223,丸いぼうし,20000
2227,キャップ,20000
2229,ヘルム,10000
2231,ジュエルヘルム,10000
2233,サークレット,10000
2236,サンタのぼうし,10000
2239,片目眼鏡,30000
2241,白ひげ,30000
2242,高級サングラス,20000
2243,スピングラス,20000
2244,大きなリボン,10000
2249,コロネット,10000
2250,リボンのヘアバンド,10000
2257,真っ白いツノ,10000
2258,シャープヘッドギア,10000
2260,ミニグラス,10000
2262,ピエロの鼻,40000
2263,義賊の眼帯,10000
2265,デモ用のマスク,10000
2267,タバコ,10000
2268,パイプタバコ,10000
2269,花びら,10000
2270,草の葉,10000
2271,頭眼鏡,10000
2272,停止表示板,10000
2273,医者のヘアバンド,10000
2275,バンダナ,10000
2276,睨む目,10000
2279,導火線,10000
2284,鹿の角,10000
2287,海賊の頭巾,10000
2289,あれ,10000
2290,葬式用の帽子,10000
2291,蝶の仮面,10000
2293,演劇の小道具,10000
2294,スターダスト,10000
2295,目隠し,10000
2296,望遠鏡,10000
2298,緑の觸角,10000
2299,オーク族のヘルム,10000
2302,コットンシャツ,40000
2304,レザージャケット,40000
2306,アドベンチャースーツ,30000
2308,メントル,30000
2310,ロングコート,20000
2311,ミンクのコート,10000
2313,アーマー,10000
2315,メイル,10000
2317,プレート,10000
2322,シルクローブ,20000
2324,スケーピューラ,30000
2326,セイントローブ,10000
2329,ウドゥンメイル,30000
2331,タイツ,10000
2333,シルバーローブ,10000
2336,シーフクロース,10000
2337,忍者ス－ツ,10000
2338,ウェディングドレス,10000
2339,ブリーフ,50000
2402,サンダル,30000
2404,シューズ,20000
2406,ブーツ,10000
2407,ガラスの靴,10000
2408,足鎖,50000
2409,ハイヒール,10000
2502,フード,40000
2504,マフラー,20000
2506,マント,10000
2507,昔の領主のマント,10000
2508,ぼろマント,10000
2601,リング,10000
2602,イヤリング,10000
2603,ネックレス,10000
2604,グローブ,10000
2605,ブローチ,10000
2607,クリップ,100000
2608,ロザリー,30000
2609,骸骨の指輪,100000
2610,金の指輪,20000
2611,銀の指輪,30000
2612,花の指輪,100000
2613,ダイヤの指輪,10000
5008,仮初めの恋,10000
5009,工事帽,10000
5010,インディアンのヘアバンド,10000
5014,えらヘルム,10000
5015,装飾用卵殻,40000
2225,ゴーグル,10000
1117,カタナ,40000
1152,スレイヤー,30000
1155,バスタードソード,20000
1158,ツーハンドソード,10000
1162,ブロードソード,10000
1163,クレイモア,10000
1352,バトルアックス,20000
1355,ハンマー,20000
1358,バスター,10000
1361,ツーハンドアックス,10000
1452,ギザルム,10000
1455,グレイヴ,10000
1458,パルチザン,10000
1461,トライデント,10000
1464,ハルバード,10000
1410,ランス,10000
1251,ジュル,20000
1253,カタール,10000
1255,ジャマダハル,10000
1702,ボウ,40000
1705,コンポジットボウ,30000
1708,グレイトボウ,20000
1718,ハンターボウ,10000
1711,クロスボウ,10000
1719,盗賊の弓,10000
1713,アーバレスト,10000
1714,角弓,10000
701,オラオラ,10000
702,家畜の血,10000
703,ヒナレ,10000
704,アロエ,10000
705,クローバー,10000
706,四葉のクローバー,10000
707,歌う草,10000
708,メント,10000
710,幻想の花,10000
711,若芽,100000
712,花,100000
713,空きビン,100000
714,エンペリウム,10000
715,イエロージェムストーン,70000
716,レッドジェムストーン,70000
717,ブルージェムストーン,70000
718,ガーネット,20000
719,アメジスト,20000
720,アクアマリン,20000
721,エメラルド,20000
722,真珠,20000
723,ルビー,20000
724,呪われたルビー,10000
725,サードオニキス,20000
726,サファイア,20000
727,オパール,20000
728,トパーズ,20000
729,ジルコン,20000
730,ダイヤモンド１カラット,20000
731,ダイヤモンド２カラット,10000
732,ダイヤモンド３カラット,10000
733,損傷したダイヤモンド,10000
734,赤い額縁,30000
735,青い陶磁器,30000
736,白い皿,30000
737,黒い杓子,30000
738,鉛筆立て,20000
740,ぬいぐるみ,10000
741,ポリン人形,10000
742,チョンチョン人形,10000
743,スポア人形,10000
744,花たば,100000
745,ブーケ,20000
746,ガラス玉,30000
747,水晶鏡,10000
748,しおれないバラ,10000
749,氷バラ,10000
752,バッタ人形,10000
753,サル人形,10000
754,タヌキ人形,10000
756,オリデオコン原石,10000
757,エルニウム原石,10000
901,ピッグテールリボン,20000
902,木の根,20000
903,爬虫類の舌,20000
904,サソリの尻尾,20000
905,植物の茎,20000
906,鱗の茎,20000
907,古木の露,20000
908,かえるの卵,20000
909,ゼロピー,100000
910,ガレット,50000
911,セルー,30000
912,ジャルゴン,20000
913,こうもりの牙,20000
914,綿毛,20000
915,さなぎの皮,20000
916,鳥の羽毛,20000
917,鳥のつめ,20000
918,べとべと水かき,20000
919,獣の皮,20000
920,狼の爪,20000
921,きのこの胞子,20000
922,オークの牙,20000
923,悪魔の角,10000
924,蝶の鱗粉,20000
925,鳥のくちばし,20000
926,蛇の鱗,20000
928,虫の觸角,20000
929,止まらない心臓,20000
930,くさった包帯,20000
931,オーク戦士の証,20000
932,スケルボーン,20000
934,死者の遺品,10000
935,かたい皮,20000
936,鱗のかけら,20000
937,毒の牙,20000
938,べとべとする液体,20000
939,ハチの針,20000
940,バッタの足,20000
942,サルのしっぽ,20000
943,けっこうかたい皮,10000
944,馬のひづめ,20000
945,タヌキ木の葉,20000
946,カタシムリの皮,20000
947,硬い角,20000
948,くまの足の裏,20000
949,やわらかな毛,20000
950,人魚の心臓,20000
951,背びれ,20000
952,サボテンの針,20000
953,岩の心臓,20000
954,輝く鱗,20000
955,蟲の皮,20000
956,トゲがついているエラ,20000
957,亡者の爪,20000
958,亡者の牙,10000
959,くさった鱗,20000
960,かにニッパ,20000
961,貝,20000
962,触手,20000
963,鋭い鱗,20000
968,オーク勇者の証,10000
969,黄金,10000
970,アルコール,10000
971,ディトリミン,10000
972,カルボーディル,10000
973,中和剤,10000
974,混合剤,10000
975,赤色の染料,10000
976,黄色の染料,10000
978,青色の染料,10000
979,緑色の染料,10000
980,紅色の染料,10000
981,紫色の染料,10000
982,白色の染料,10000
983,黒色の染料,10000
984,オリデオコン,10000
985,エルニウム,10000
986,金敷,30000
987,オリデオコンの金敷,10000
988,黄金の金敷,10000
989,エンペリウムの金敷,10000
990,レッドブラッド,30000
991,クリスタルブルー,30000
992,ウィンドオブヴェルデュール,30000
993,イエローライブ,30000
994,フレイムハート,10000
995,ミスティックフローズン,10000
996,ラフウィンド,10000
997,グレイトネイチャ,10000
998,鉄,100000
999,鋼鉄,30000
1000,星のかけら,30000
1001,星の粉,100000
1002,鉄鉱石,200000
1003,石炭,50000
1004,忠節の証,10000
1005,鍛冶屋の金槌,10000
1006,古い魔法書,10000
1007,慧眼,10000
1008,非情な心,10000
1009,聖痕,10000
1010,プラコン,200000
1011,エンベルタコン,50000
1012,トカゲの襟巻,20000
1013,華麗な蟲の皮,20000
1014,蟻の顎,20000
1015,長く細い舌,10000
1016,ねずみの尻尾,20000
1017,土竜のひげ,20000
1018,土竜の爪,20000
1019,木屑,20000
1020,長い髪,20000
1021,ドケビの角,20000
1022,狐の尻尾,20000
1023,魚の尻尾,20000
1024,墨汁,20000
1025,くもの糸,20000
1026,どんぐり,20000
1027,ハリネズミの針,20000
1028,いのししのたてがみ,20000
1029,虎の革,10000
1030,虎の足裏,10000
1031,かまきりの手,20000
1032,食人植物の花,20000
1033,食人植物の根,20000
1034,コボルトの毛,20000
1035,ドラゴンの牙,20000
1036,ドラゴンの鱗,20000
1037,ドラゴンの尻尾,20000
1038,子悪魔の角,20000
1039,子悪魔の翼,20000
1040,年寄り妖精のひげ,20000
1041,ランタン,20000
1042,短い足,20000
1043,オークの爪,20000
1044,ゼノークの歯,20000
1045,神官の仮面,20000
1046,サソリのはさみ,20000
1047,メドゥーサの頭,20000
1048,蛇模様の髪,20000
1049,乙女の着物,10000
1050,血管,20000
1051,雷管,20000
1052,単細胞,20000
1053,古代魚の歯,20000
1054,古代魚の唇,20000
1055,ミミズの皮,20000
1056,砂のかけら,20000
1057,蛾の羽粉,20000
1058,蛾の羽,20000
1059,透明な布,20000
1060,金髪の髪,20000
1061,魔女の星の砂,20000
1062,カボチャの頭,20000
1063,鋭い牙,20000
1064,馬の手綱,20000
1065,設置用トラップ,50000
501,赤ポーション,50000
502,紅ポーション,50000
503,黄ポーション,50000
504,白ポーション,50000
505,青ポーション,30000
506,緑ポーション,50000
507,赤ハーブ,110000
508,黄ハーブ,100000
509,白ハーブ,100000
510,青ハーブ,50000
511,緑ハーブ,100000
512,リンゴ,100000
513,バナナ,90000
514,ブドウ,100000
515,ニンジン,100000
516,いも,100000
517,にく,50000
518,ハチ蜜,20000
519,ミルク,20000
520,ヒナレの葉,20000
521,アロエの葉,20000
523,聖水,30000
525,万能薬,20000
526,ローヤルゼリー,10000
528,化け物のエサ,30000
529,キャンディ,20000
530,スティックキャンディ,20000
531,リンゴジュース,30000
532,バナナジュース,30000
533,ブドウジュース,30000
534,ニンジンジュース,30000
535,カボチャ,50000
601,ハエの羽,100000
602,蝶の羽,100000
603,古く青い箱,400000
604,古木の枝,10000
605,アンティペインメント,20000
606,アロエベラ,20000
607,イグドラシルの実,10000
608,イグドラシルの種,10000
610,イグドラシルの葉,10000
611,拡大鏡,100000
612,携帯用溶鉱炉,50000
613,鋼鉄の金槌,30000
614,黄金の金槌,20000
615,オリデオコンの金槌,10000
1102,ソード,10000
1105,ファルシオン,10000
1108,ブレイド,10000
1111,レイピア,10000
1114,シミター,10000
1120,ツルギ,10000
1125,環頭太刀,10000
1127,サーベル,10000
1128,海東剣,10000
1129,フランベルジェ,10000
1202,ナイフ,10000
1205,カッター,10000
1208,マインゴーシュ,10000
1211,ダーク,10000
1214,ダガー,10000
1217,スティレット,10000
1220,グラディウス,10000
1226,ダマスカス,10000
1302,アックス,10000
1402,ジャベリン,10000
1405,スピアー,10000
1408,パイク,10000
1502,クラブ,10000
1505,メイス,10000
1508,スマッシャー,10000
1511,フレイル,10000
1514,モニングスター,10000
1517,ソードメイス,10000
1520,チェイン,10000
1550,ブック,10000
1551,バイブル,10000
1602,ロッド,10000
1605,ワンド,10000
1608,スタッフ,10000
1611,アークワンド,10000
1613,マイトスタッフ,10000
