// アイテム価格データ（item_db.txtのデータにオーバーライドされます）
//ID,Name,Jname,Price,Sell,Not_DC,Not_OC
501,Red_Potion,赤ポーション,50,,,
502,Orange_Potion,紅ポーション,200,,,
503,Yellow_Potion,黄ポーション,550,,,
504,White_Potion,白ポーション,1200,,,
505,Blue_Potion,青ポーション,5000,,,
506,Green_Potion,緑ポーション,40,,,
507,Red_Herb,赤ハーブ,18,,,
508,Yellow_Herb,黄ハーブ,40,,,
509,White_Herb,白ハーブ,120,,,
510,Blue_Herb,青ハーブ,60,,,
511,Green_Herb,緑ハーブ,10,,,
512,Apple,リンゴ,15,,,
513,Banana,バナナ,15,,,
514,Grape,ブドウ,200,,,
515,Carrot,ニンジン,15,,,
516,Sweet_Potato,いも,15,,,
517,Meat,にく,55,,,
518,Honey,ハチ蜜,500,,,
519,Milk,ミルク,25,,,
520,Leaflet_of_Hinal,ヒナレの葉,150,,,
521,Leaflet_of_Aloe,アロエの葉,360,,,
522,Fruit_of_Mastela,マステラの実,840,,,
523,Holy_Water,聖水,20,,,
525,Panacea,万能薬,500,,,
526,Royal_Jelly,ローヤルゼリー,7000,,,
528,Monster's_Feed,化け物のエサ,60,,,
529,Candy,キャンディ,10,,,
530,Candy_Striper,スティックキャンディ,20,,,
531,Apple_Juice,リンゴジュース,20,,,
532,Banana_Juice,バナナジュース,20,,,
533,Grape_Juice,ブドウジュース,250,,,
534,Carrot_Juice,ニンジンジュース,20,,,
535,Pumpkin,カボチャ,15,,,
536,Ice_Cream,アイスクリーム,150,,,
537,Pet_Food,ペットフード,2500,,,
538,Well_Baked_Cookie,よく焼いたクッキー,1000,,,
539,Piece_of_Cake,ひとくちケーキ,3000,,,
540,Falcon_food,ファルコンのえさ,,,,
541,Pecopeco_food,ペコペコのえさ,,,,
542,Festive_Cookie,ひなあられ,,,,
543,Festive_Rainbow_Cake,菱餅,,,,
544,Fish_Slice,おさしみ,,,,
545,,レッドスリムポーション,,,,
546,,イエロースリムポーション,,,,
547,,ホワイトスリムポーション,,,,
548,,チーズ,,,,
549,,おいしい焼き芋,,,,
550,,お米のお菓子,,,,
551,,寿司,,,,
601,Fly_Wing,ハエの羽,100,,,
602,Butterfly_Wing,蝶の羽,500,,,
603,Old_Blue_Box,古く青い箱,2,,,
604,Dead_Branch,古木の枝,2,,,
605,Anodyne,アンティペインメント,1000,,,
606,Aloevera,アロエべラ,2,,,
607,Yggdrasilberry,イグドラシルの実,2,,,
608,Yggdrasil_Seed,イグドラシルの種,2,,,
609,Amulet,返魂のお札,100,,,
610,Yggdrasil_Leaf,イグドラシルの葉,2000,,,
611,Magnifier,拡大鏡,40,,,
612,Mini_Furnace,携帯用溶鉱炉,150,,,
613,Iron_Hammer,鋼鉄の金槌,1000,,,
614,Golden_Hammer,黄金の金槌,3000,,,
615,Oridecon_Hammer,オリデオコンの金槌,5000,,,
616,Old_Card_Album,古いカード帖,2,,,
617,Old_Purple_Box,古い紫色の箱,2,,,
618,Worn_Out_Scroll,古い巻物,2,,,
619,Unripe_Apple,まだ熟してないリンゴ,1000,,,
620,Orange_Juice,オレンジジュース,1500,,,
621,Bitter_Herb,とても苦い草,20,,,
622,Rainbow_Carrot,虹色ニンジン,2500,,,
623,Earthworm_the_Dude,ハンサムな青年ミミズ,4000,,,
624,Rotten_Fish,腐った魚,2500,,,
625,Rusty_Iron,錆びた鉄,100,,,
626,Monster_Juice,モンスタージュース,1500,,,
627,Sweet_Milk,甘い牛乳,7000,,,
628,Well-Dried_Bone,よく乾いてるホネ,10000,,,
629,Singing_Flower,歌う花,300,,,
630,Dew_Laden_Moss,朝の露が宿っている苔,10,,,
631,Deadly_Noxious_Herb,猛毒草,20,,,
632,Fatty_Chubby_Earthworm,太っているミミズ,5000,,,
633,Baked_Yam,焼き芋,20,,,
634,Tropical_Banana,熱帯のバナナ,20,,,
635,Horror_of_Tribe,組織の掟,300,,,
636,No_Recipient,宛てがない手紙,100,,,
637,Old_Broom,古いホウキ,350,,,
638,Silver_Knife_of_Chastity,純潔の小太刀,12000,,,
639,Armlet_of_Obedience,服従の腕輪,18000,,,
640,Shining_Stone,光ってる石,3000,,,
641,Contracts_in_Shadow,闇の契約書,100,,,
642,Book_of_Devil,悪魔召喚書,1800,,,
643,Pet_Incubator,携帯卵孵化機,3000,,,
644,Gift_Box,プレゼント_ボックス,2,,,
645,Concentration_Potion,スピードアップポーション,1000,,,
656,Awakening_Potion,ハイスピードポーション,1000,,,
657,Berserk_Potion,バーサークポーション,1000,,,
