// 古い紫色の箱から得られるアイテムを設定。
// nameid, item_name(dummy), rate
// アイテムID、アイテムの名前(ダミー)、確率(*10000)をした物です。500000なら50%で1000000なら100%です。)
// アイテムIDが0の場合確率をアイテムの選択に失敗した時に得られるデフォルトアイテムのIDとして認識します。(複数である場合最後の物だけ有効です。) 
0,ガード,2102
2102,ガード,10000
2104,バックラー,10000
2106,シールド,10000
2108,ミラーシールド,10000
2207,装飾用花,10000
2209,リボン,10000
2213,猫耳のヘアバンド,10000
2215,花のヘアバンド,10000
2217,ビレタ,10000
2221,ハット,10000
2223,丸いぼうし,10000
2227,キャップ,10000
2229,ヘルム,10000
2231,ジュエルヘルム,10000
2233,サークレット,10000
2236,サンタのぼうし,10000
2244,大きなリボン,10000
2249,コロネット,10000
2250,リボンのヘアバンド,10000
2257,真っ白いツノ,10000
2258,シャープヘッドギア,10000
2262,ピエロの鼻,10000
2263,義賊の眼帯,10000
2265,デモ用のマスク,10000
2269,花びら,10000
2270,草の葉,10000
2271,頭眼鏡,10000
2272,停止表示板,10000
2273,医者のヘアバンド,10000
2275,バンダナ,10000
2276,睨む目,10000
2279,導火線,10000
2284,鹿の角,10000
2287,海賊の頭巾,10000
2289,あれ,10000
2290,葬式用の帽子,10000
2291,蝶の仮面,10000
2293,演劇の小道具,10000
2294,スターダスト,10000
2295,目隠し,10000
2296,望遠鏡,10000
2298,緑の觸角,10000
2299,オーク族のヘルム,10000
2302,コットンシャツ,10000
2304,レザージャケット,10000
2306,アドベンチャースーツ,10000
2308,メントル,10000
2310,ロングコート,10000
2311,ミンクのコート,10000
2313,アーマー,10000
2315,メイル,10000
2317,プレート,10000
2322,シルクローブ,10000
2324,スケーピューラ,10000
2326,セイントローブ,10000
2329,ウドゥンメイル,10000
2331,タイツ,10000
2333,シルバーローブ,10000
2336,シーフクロース,10000
2337,忍者ス－ツ,10000
2338,ウェディングドレス,10000
2339,ブリーフ,10000
2402,サンダル,10000
2404,シューズ,10000
2407,ガラスの靴,10000
2408,足鎖,10000
2409,ハイヒール,10000
2502,フード,10000
2504,マフラー,10000
2506,マント,10000
2507,昔の領主のマント,10000
2508,ぼろマント,10000
2601,リング,10000
2602,イヤリング,10000
2603,ネックレス,10000
2604,グローブ,10000
2605,ブローチ,10000
2607,クリップ,10000
2608,ロザリー,10000
2609,骸骨の指輪,10000
2610,金の指輪,10000
2611,銀の指輪,10000
2612,花の指輪,10000
2613,ダイヤの指輪,10000
5008,仮初めの恋,10000
5009,工事帽,10000
5010,インディアンのヘアバンド,10000
5014,えらヘルム,10000
5015,装飾用卵殻,10000
2225,ゴーグル,10000
1117,カタナ,10000
1152,スレイヤー,10000
1155,バスタードソード,10000
1158,ツーハンドソード,10000
1162,ブロードソード,10000
1163,クレイモア,10000
1352,バトルアックス,10000
1355,ハンマー,10000
1358,バスター,10000
1361,ツーハンドアックス,10000
1452,ギザルム,10000
1455,グレイヴ,10000
1458,パルチザン,10000
1461,トライデント,10000
1464,ハルバード,10000
1410,ランス,10000
1251,ジュル,10000
1253,カタール,10000
1255,ジャマダハル,10000
1702,ボウ,10000
1705,コンポジットボウ,10000
1718,ハンターボウ,10000
1711,クロスボウ,10000
1719,盗賊の弓,10000
1713,アーバレスト,10000
1714,角弓,10000
701,オラオラ,10000
702,家畜の血,10000
703,ヒナレ,10000
704,アロエ,10000
706,四葉のクローバー,10000
707,歌う草,10000
708,メント,10000
710,幻想の花,10000
714,エンペリウム,10000
715,イエロージェムストーン,10000
716,レッドジェムストーン,10000
717,ブルージェムストーン,10000
718,ガーネット,10000
719,アメジスト,10000
720,アクアマリン,10000
721,エメラルド,10000
722,真珠,10000
723,ルビー,10000
724,呪われたルビー,10000
725,サードオニキス,10000
726,サファイア,10000
727,オパール,10000
728,トパーズ,10000
729,ジルコン,10000
730,ダイヤモンド１カラット,10000
731,ダイヤモンド２カラット,10000
732,ダイヤモンド３カラット,10000
733,損傷したダイヤモンド,10000
734,赤い額縁,10000
735,青い陶磁器,10000
736,白い皿,10000
737,黒い杓子,10000
738,鉛筆立て,10000
740,ぬいぐるみ,10000
741,ポリン人形,10000
742,チョンチョン人形,10000
743,スポア人形,10000
745,ブーケ,10000
747,水晶鏡,10000
748,しおれないバラ,10000
749,氷バラ,10000
752,バッタ人形,10000
753,サル人形,10000
754,タヌキ人形,10000
756,オリデオコン原石,10000
757,エルニウム原石,10000
909,ゼロピー,10000
910,ガレット,10000
911,セルー,10000
912,ジャルゴン,10000
931,オーク戦士の証,10000
934,死者の遺品,10000
968,オーク勇者の証,10000
969,黄金,10000
970,アルコール,10000
971,ディトリミン,10000
972,カルボーディル,10000
973,中和剤,10000
974,混合剤,10000
975,赤色の染料,10000
976,黄色の染料,10000
978,青色の染料,10000
979,緑色の染料,10000
980,紅色の染料,10000
981,紫色の染料,10000
982,白色の染料,10000
983,黒色の染料,10000
984,オリデオコン,10000
985,エルニウム,10000
986,金敷,10000
987,オリデオコンの金敷,10000
988,黄金の金敷,10000
989,エンペリウムの金敷,10000
990,レッドブラッド,10000
991,クリスタルブルー,10000
992,ウィンドオブヴェルデュール,10000
993,イエローライブ,10000
994,フレイムハート,10000
995,ミスティックフローズン,10000
996,ラフウィンド,10000
997,グレイトネイチャ,10000
998,鉄,10000
999,鋼鉄,10000
1000,星のかけら,10000
1001,星の粉,10000
1002,鉄鉱石,10000
1003,石炭,10000
1004,忠節の証,10000
1005,鍛冶屋の金槌,10000
1006,古い魔法書,10000
1007,慧眼,10000
1008,非情な心,10000
1009,聖痕,10000
1010,プラコン,10000
1011,エンベルタコン,10000
1065,設置用トラップ,10000
501,赤ポーション,10000
502,紅ポーション,10000
503,黄ポーション,10000
504,白ポーション,10000
505,青ポーション,10000
506,緑ポーション,10000
518,ハチ蜜,10000
520,ヒナレの葉,10000
521,アロエの葉,20000
525,万能薬,10000
526,ローヤルゼリー,10000
529,キャンディ,10000
530,スティックキャンディ,10000
603,古く青い箱,400000
604,古木の枝,90000
605,アンティペインメント,10000
606,アロエベラ,10000
607,イグドラシルの実,10000
608,イグドラシルの種,10000
610,イグドラシルの葉,10000
612,携帯用溶鉱炉,50000
613,鋼鉄の金槌,10000
614,黄金の金槌,10000
615,オリデオコンの金槌,10000
1102,ソード,10000
1105,ファルシオン,10000
1108,ブレイド,10000
1111,レイピア,10000
1114,シミター,10000
1120,ツルギ,10000
1125,環頭太刀,10000
1127,サーベル,10000
1128,海東剣,10000
1129,フランベルジェ,10000
1202,ナイフ,10000
1205,カッター,10000
1208,マインゴーシュ,10000
1211,ダーク,10000
1214,ダガー,10000
1217,スティレット,10000
1220,グラディウス,10000
1226,ダマスカス,10000
1302,アックス,10000
1402,ジャベリン,10000
1405,スピアー,10000
1408,パイク,10000
1502,クラブ,10000
1505,メイス,10000
1508,スマッシャー,10000
1511,フレイル,10000
1514,モニングスター,10000
1517,ソードメイス,10000
1520,チェイン,10000
1550,ブック,10000
1551,バイブル,10000
1602,ロッド,10000
1605,ワンド,10000
1608,スタッフ,10000
1611,アークワンド,10000
1613,マイトスタッフ,10000
