//item.txt＠AthenaDB計画 2004/08/22 12:51:37 +0900 (JST)
ID	Jname

501	赤ポーション
502	紅ポーション
503	黄ポーション
504	白ポーション
505	青ポーション
506	緑ポーション
507	赤ハーブ
508	黄ハーブ
509	白ハーブ
510	青ハーブ
511	緑ハーブ
512	リンゴ
513	バナナ
514	ブドウ
515	ニンジン
516	いも
517	にく
518	ハチ蜜
519	ミルク
520	ヒナレの葉
521	アロエの葉
522	マステラの実
523	聖水
525	万能薬
526	ローヤルゼリー
528	化け物のエサ
529	キャンディ
530	スティックキャンディ
531	リンゴジュース
532	バナナジュース
533	ブドウジュース
534	ニンジンジュース
535	カボチャ
536	アイスクリーム
537	ペットフード
538	よく焼いたクッキー
539	ひとくちケーキ
540	ファルコンのえさ
541	ペコペコのえさ
542	ひなあられ
543	菱餅
544	おさしみ
545	レッドスリムポーション
546	イエロースリムポーション
547	ホワイトスリムポーション
548	チーズ
549	おいしい焼き芋
550	お米のお菓子
551	お寿司
552	KETUPAT
553	小包子
554	おもち
555	おはぎ
556	ガレットック
557	トック
558	チョコレート
559	手作りチョコ
560	手作りホワイトチョコ
561	ホワイトチョコ
562	ダブルクラストスイスフォンデュ
563	ダブルクラストスイスフォンデュ
564	握り飯
565	ビタ500
601	ハエの羽
602	蝶の羽
603	古く青い箱
604	古木の枝
605	アンティペインメント
606	アロエベラ
607	イグドラシルの実
608	イグドラシルの種
609	返魂のお札
610	イグドラシルの葉
611	拡大鏡
612	携帯用溶鉱炉
613	鋼鉄の金槌
614	黄金の金槌
615	オリデオコンの金槌
616	古いカード帖
617	古い紫色の箱
618	古い巻物
619	まだ熟してないリンゴ
620	オレンジジュース
621	とても苦い草
622	虹色ニンジン
623	ハンサムな青年ミミズ
624	腐った魚
625	錆びた鉄
626	モンスタージュース
627	甘い牛乳
628	よく乾いてるホネ
629	歌う花
630	朝の露が宿っている苔
631	猛毒草
632	太っているミミズ
633	焼き芋
634	熱帯のバナナ
635	組織の掟
636	宛てがない手紙
637	古いホウキ
638	純潔の小太刀
639	服従の腕輪
640	光ってる石
641	闇の契約書
642	悪魔召喚書
643	携帯卵孵化機
644	プレゼント_ボックス
645	スピードアップポーション
656	ハイスピードポーション
657	バーサークポーション
658	組織の団結力
659	彼女の想い
660	赤いろうそく
661	高級エプロン
663	中秋の餠
664	プレゼントボックス
665	プレゼントボックス
666	プレゼントボックス
667	プレゼントボックス
668	お年玉
669	トックッ
670	金貨の袋
671	金貨
672	銅貨の袋
673	銅貨
674	ミスリル貨
675	銀貨
676	銀貨の袋
677	白金貨
678	毒薬の瓶
679	召喚団
680	魔力のカーネーション
681	新婚の思い出
682	雄黄株
683	艾草
684	ドリアン
701	オラオラ
702	家畜の血
703	ヒナレ
704	アロエ
